moo,,БУМАГА НА 01/06/2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,ФАКТУРА,НАТУРАЛ,МЕТАЛЛ,СОФТ,СПИСАТЬ,КОНВЕРТ
ДИЗАЙНЕРСКАЯ БУМАГА,,,,,,,,,,,"остаток, лист",,,,,,
ПОСТАВЩИК,ПРИХОД,НАИМЕНОВАНИЕ,ФОРМАТ,КОЛ-ВО,,,,ЦЕНА с ндс,"ЦВЕТ, ФАКТУРА",ПЛОТНОСТЬ,01/06/26,,,,,,
Бумажная компания,ТТН 1057687 от 29.08.23г.,"Бумага дизайнерская ICEBLINK 2-ст тисн. лен белый, 300г/м2, Италия",лист SRA3,18,"1,32","1,71","2,25","2,70",ЛЕН БЕЛЫЙ,300,,,,,,,
Бумажная компания,ТТН1025860 от 17.07.24г.,"Бумага дизайнерская Velvet Кремовый, 300г/м2, Турция",лист SRA3,29,"1,39","1,62","2,25","2,70",ВЕЛЬВЕТ,300,,,,,,,
Бумажная компания,ТТН0579273 от 30.04.24г.,"Бумага дизайнерская Velvet Кремовый, 350г/м2, Турция",лист SRA3,40,"1,62","1,39","2,25","2,70",ВЕЛЬВЕТ,350,СПИСАТЬ,,,,,,
Люмитекс,ТТН1470870 от 27.09.24г.,"Бумага CURIOUS SKIN IVORY B1, 270 г/м2, Италия",лист SRA3,28,"1,38","1,63","2,25","2,70",ГЛАДКАЯ НАТУРАЛЬНАЯ,270,,,,,,,
Люмитекс,ТТН4180105 от 01.11.24г.,"Бумага дизайнерская TWILL BRIGHT WHITE, 300г/м2, Италия",лист SRA3,40,"1,25","1,80","2,25","2,70",ВЕЛЬВЕТ БЕЛЫЙ,300,,,,,,,
Люмитекс,ТТН2163927 от 19.11.25г.,"Бумага Fedrigoni Tintoretto Crema, 300г/м2, Италия",лист SRA3,20,"1,50","1,50","2,25","2,70",МЕЛКИЙ МОЛОТОК,300,,,,,,,
Бумажная компания,ТТН4862483 от 21.02.25г.,"Бумага дизайнерская Fancy Colorful White 320г/м2, Италия",лист SRA3,6,"1,21","1,86","2,25","2,70",ХЛОПОК НАТУРАЛЬНЫЙ,320,,,,,,,
Бумажная компания,ТТН0280576 от 08.09.25г.,"Бумага дизайнерская Fancy Colorful white, 120г/м2, Италия",лист SRA3,134,"0,43","2,10","0,90","1,08",ХЛОПОК НАТУРАЛЬНЫЙ,120,,,,,,,
Бумажная компания,ТТН4862483 от 21.02.25г.,"Бумага дизайнерская Fancy Colorful cream, 120г/м2, Италия",лист SRA3,65,"0,49","1,84","0,90","1,08",ХЛОПОК КРЕМОВЫЙ,120,,,,,,,
АртПапера,ТН2247668 от 25.06.25г.,"Бумага дизайнерская Fancy Colorful vinous (винный),320г/м2, Китай",лист SRA3,15,"1,20","1,88","2,25","2,70",ХЛОПОК ВИННЫЙ,320,конверты МАРЫ,,САША,3 с листа,,,
АртПапера,ТН2137658 от 30.10.25г.,"Бумага дизайнерская Fancy Colorful vinous (винный),320г/м2, Китай",лист SRA3,20,"1,50","1,50","2,25","2,70",ХЛОПОК ВИННЫЙ,320,конверты МАРЫ,,,,,,
